# layer_id eta phi delta_eta delta_phi rmin rmax
L 3 -1.0 1.0 40 -3.11704896 3.11704896 254 1926.0 1980.0
C 3 -0.975 -1.63215556 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi60 0 60
C 3 -0.975 -1.60761187 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi61 0 61
C 3 -0.975 -1.58306817 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi62 0 62
C 3 -0.975 -1.55852448 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi63 0 63
C 3 -0.975 -1.53398079 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi64 0 64
C 3 -0.975 -1.5094371 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi65 0 65
C 3 -0.975 -1.4848934 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi66 0 66
C 3 -0.975 -1.46034971 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi67 0 67
C 3 -0.975 -1.43580602 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi68 0 68
C 3 -0.975 -1.41126232 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi69 0 69
C 3 -0.975 -1.38671863 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi70 0 70
C 3 -0.975 -1.36217494 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi71 0 71
C 3 -0.975 -1.33763125 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi72 0 72
C 3 -0.975 -1.31308755 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi73 0 73
C 3 -0.975 -1.28854386 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi74 0 74
C 3 -0.975 -1.26400017 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi75 0 75
C 3 -0.975 -1.23945648 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi76 0 76
C 3 -0.975 -1.21491278 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi77 0 77
C 3 -0.975 -1.19036909 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi78 0 78
C 3 -0.975 -1.1658254 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi79 0 79
C 3 -0.975 -1.14128171 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi80 0 80
C 3 -0.975 -1.11673801 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi81 0 81
C 3 -0.975 -1.09219432 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi82 0 82
C 3 -0.975 -1.06765063 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi83 0 83
C 3 -0.975 -1.04310694 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi84 0 84
C 3 -0.975 -1.01856324 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi85 0 85
C 3 -0.975 -0.99401955 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi86 0 86
C 3 -0.975 -0.96947586 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi87 0 87
C 3 -0.975 -0.94493217 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi88 0 88
C 3 -0.975 -0.92038847 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi89 0 89
C 3 -0.975 -0.89584478 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi90 0 90
C 3 -0.975 -0.87130109 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi91 0 91
C 3 -0.975 -0.84675739 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi92 0 92
C 3 -0.975 -0.8222137 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi93 0 93
C 3 -0.975 -0.79767001 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi94 0 94
C 3 -0.975 -0.77312632 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi95 0 95
C 3 -0.975 -0.74858262 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi96 0 96
C 3 -0.975 -0.72403893 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi97 0 97
C 3 -0.975 -0.69949524 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi98 0 98
C 3 -0.975 -0.67495155 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi99 0 99
C 3 -0.975 -0.65040785 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi100 0 100
C 3 -0.975 -0.62586416 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi101 0 101
C 3 -0.975 -0.60132047 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi102 0 102
C 3 -0.975 -0.57677678 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi103 0 103
C 3 -0.975 -0.55223308 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi104 0 104
C 3 -0.975 -0.52768939 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi105 0 105
C 3 -0.975 -0.5031457 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi106 0 106
C 3 -0.975 -0.47860201 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi107 0 107
C 3 -0.975 -0.45405831 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi108 0 108
C 3 -0.975 -0.42951462 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi109 0 109
C 3 -0.975 -0.40497093 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi110 0 110
C 3 -0.975 -0.38042724 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi111 0 111
C 3 -0.975 -0.35588354 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi112 0 112
C 3 -0.975 -0.33133985 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi113 0 113
C 3 -0.975 -0.30679616 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi114 0 114
C 3 -0.975 -0.28225246 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi115 0 115
C 3 -0.975 -0.25770877 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi116 0 116
C 3 -0.975 -0.23316508 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi117 0 117
C 3 -0.975 -0.20862139 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi118 0 118
C 3 -0.975 -0.18407769 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi119 0 119
C 3 -0.975 -0.159534 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi120 0 120
C 3 -0.975 -0.13499031 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi121 0 121
C 3 -0.975 -0.11044662 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi122 0 122
C 3 -0.975 -0.08590292 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi123 0 123
C 3 -0.975 -0.06135923 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi124 0 124
C 3 -0.975 -0.03681554 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi125 0 125
C 3 -0.975 -0.01227185 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi126 0 126
C 3 -0.975 0.01227185 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi127 0 127
C 3 -0.975 0.03681554 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi128 0 128
C 3 -0.975 0.06135923 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi129 0 129
C 3 -0.975 0.08590292 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi130 0 130
C 3 -0.975 0.11044662 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi131 0 131
C 3 -0.975 0.13499031 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi132 0 132
C 3 -0.975 0.159534 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi133 0 133
C 3 -0.975 0.18407769 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi134 0 134
C 3 -0.975 0.20862139 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi135 0 135
C 3 -0.975 0.23316508 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi136 0 136
C 3 -0.975 0.25770877 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi137 0 137
C 3 -0.975 0.28225246 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi138 0 138
C 3 -0.975 0.30679616 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi139 0 139
C 3 -0.975 0.33133985 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi140 0 140
C 3 -0.975 0.35588354 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi141 0 141
C 3 -0.975 0.38042724 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi142 0 142
C 3 -0.975 0.40497093 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi143 0 143
C 3 -0.975 0.42951462 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi144 0 144
C 3 -0.975 0.45405831 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi145 0 145
C 3 -0.975 0.47860201 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi146 0 146
C 3 -0.975 0.5031457 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi147 0 147
C 3 -0.975 0.52768939 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi148 0 148
C 3 -0.975 0.55223308 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi149 0 149
C 3 -0.975 0.57677678 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi150 0 150
C 3 -0.975 0.60132047 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi151 0 151
C 3 -0.975 0.62586416 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi152 0 152
C 3 -0.975 0.65040785 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi153 0 153
C 3 -0.975 0.67495155 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi154 0 154
C 3 -0.975 0.69949524 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi155 0 155
C 3 -0.975 0.72403893 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi156 0 156
C 3 -0.975 0.74858262 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi157 0 157
C 3 -0.975 0.77312632 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi158 0 158
C 3 -0.975 0.79767001 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi159 0 159
C 3 -0.975 0.8222137 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi160 0 160
C 3 -0.975 0.84675739 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi161 0 161
C 3 -0.975 0.87130109 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi162 0 162
C 3 -0.975 0.89584478 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi163 0 163
C 3 -0.975 0.92038847 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi164 0 164
C 3 -0.975 0.94493217 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi165 0 165
C 3 -0.975 0.96947586 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi166 0 166
C 3 -0.975 0.99401955 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi167 0 167
C 3 -0.975 1.01856324 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi168 0 168
C 3 -0.975 1.04310694 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi169 0 169
C 3 -0.975 1.06765063 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi170 0 170
C 3 -0.975 1.09219432 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi171 0 171
C 3 -0.975 1.11673801 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi172 0 172
C 3 -0.975 1.14128171 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi173 0 173
C 3 -0.975 1.1658254 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi174 0 174
C 3 -0.975 1.19036909 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi175 0 175
C 3 -0.975 1.21491278 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi176 0 176
C 3 -0.975 1.23945648 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi177 0 177
C 3 -0.975 1.26400017 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi178 0 178
C 3 -0.975 1.28854386 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi179 0 179
C 3 -0.975 1.31308755 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi180 0 180
C 3 -0.975 1.33763125 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi181 0 181
C 3 -0.975 1.36217494 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi182 0 182
C 3 -0.975 1.38671863 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi183 0 183
C 3 -0.975 1.41126232 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi184 0 184
C 3 -0.975 1.43580602 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi185 0 185
C 3 -0.975 1.46034971 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi186 0 186
C 3 -0.975 1.4848934 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi187 0 187
C 3 -0.975 1.5094371 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi188 0 188
