# layer_id eta phi delta_eta delta_phi rmin rmax
L 4 -0.8 0.8 16 -3.14159265 3.14159265 64 2280 2680
C 4 -0.65 -2.89615573 0.1 0.09817477 2280 2680 layer4_eta1_phi2 1 2
C 4 -0.65 -2.79798096 0.1 0.09817477 2280 2680 layer4_eta1_phi3 1 3
C 4 -0.65 -2.69980619 0.1 0.09817477 2280 2680 layer4_eta1_phi4 1 4
C 4 -0.65 -2.60163142 0.1 0.09817477 2280 2680 layer4_eta1_phi5 1 5
C 4 -0.65 -2.50345665 0.1 0.09817477 2280 2680 layer4_eta1_phi6 1 6
C 4 -0.65 -2.40528188 0.1 0.09817477 2280 2680 layer4_eta1_phi7 1 7
C 4 -0.65 -2.3071071 0.1 0.09817477 2280 2680 layer4_eta1_phi8 1 8
C 4 -0.65 -2.20893233 0.1 0.09817477 2280 2680 layer4_eta1_phi9 1 9
C 4 -0.65 -2.11075756 0.1 0.09817477 2280 2680 layer4_eta1_phi10 1 10
C 4 -0.65 -2.01258279 0.1 0.09817477 2280 2680 layer4_eta1_phi11 1 11
C 4 -0.65 -1.91440802 0.1 0.09817477 2280 2680 layer4_eta1_phi12 1 12
C 4 -0.65 -1.81623325 0.1 0.09817477 2280 2680 layer4_eta1_phi13 1 13
C 4 -0.65 -1.71805848 0.1 0.09817477 2280 2680 layer4_eta1_phi14 1 14
C 4 -0.65 -1.61988371 0.1 0.09817477 2280 2680 layer4_eta1_phi15 1 15
C 4 -0.65 -1.52170894 0.1 0.09817477 2280 2680 layer4_eta1_phi16 1 16
C 4 -0.65 -1.42353417 0.1 0.09817477 2280 2680 layer4_eta1_phi17 1 17
C 4 -0.65 -1.3253594 0.1 0.09817477 2280 2680 layer4_eta1_phi18 1 18
C 4 -0.65 -1.22718463 0.1 0.09817477 2280 2680 layer4_eta1_phi19 1 19
C 4 -0.65 -1.12900986 0.1 0.09817477 2280 2680 layer4_eta1_phi20 1 20
C 4 -0.65 -1.03083509 0.1 0.09817477 2280 2680 layer4_eta1_phi21 1 21
C 4 -0.65 -0.93266032 0.1 0.09817477 2280 2680 layer4_eta1_phi22 1 22
C 4 -0.65 -0.83448555 0.1 0.09817477 2280 2680 layer4_eta1_phi23 1 23
C 4 -0.65 -0.73631078 0.1 0.09817477 2280 2680 layer4_eta1_phi24 1 24
C 4 -0.65 -0.63813601 0.1 0.09817477 2280 2680 layer4_eta1_phi25 1 25
C 4 -0.65 -0.53996124 0.1 0.09817477 2280 2680 layer4_eta1_phi26 1 26
C 4 -0.65 -0.44178647 0.1 0.09817477 2280 2680 layer4_eta1_phi27 1 27
C 4 -0.65 -0.3436117 0.1 0.09817477 2280 2680 layer4_eta1_phi28 1 28
C 4 -0.65 -0.24543693 0.1 0.09817477 2280 2680 layer4_eta1_phi29 1 29
C 4 -0.65 -0.14726216 0.1 0.09817477 2280 2680 layer4_eta1_phi30 1 30
C 4 -0.65 -0.04908739 0.1 0.09817477 2280 2680 layer4_eta1_phi31 1 31
C 4 -0.65 0.04908739 0.1 0.09817477 2280 2680 layer4_eta1_phi32 1 32
C 4 -0.65 0.14726216 0.1 0.09817477 2280 2680 layer4_eta1_phi33 1 33
C 4 -0.65 0.24543693 0.1 0.09817477 2280 2680 layer4_eta1_phi34 1 34
C 4 -0.65 0.3436117 0.1 0.09817477 2280 2680 layer4_eta1_phi35 1 35
