# layer_id eta phi delta_eta delta_phi rmin rmax
L 2 -1.025 1.025 82 -3.11704896 3.11704896 254 1596.0 1926.0
C 2 -1.0125 -3.10477711 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi0 0 0
C 2 -1.0125 -3.08023342 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi1 0 1
C 2 -1.0125 -3.05568973 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi2 0 2
C 2 -1.0125 -3.03114604 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi3 0 3
C 2 -1.0125 -3.00660234 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi4 0 4
C 2 -1.0125 -2.98205865 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi5 0 5
C 2 -1.0125 -2.95751496 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi6 0 6
C 2 -1.0125 -2.93297127 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi7 0 7
C 2 -1.0125 -2.90842757 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi8 0 8
C 2 -1.0125 -2.88388388 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi9 0 9
C 2 -1.0125 -2.85934019 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi10 0 10
C 2 -1.0125 -2.8347965 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi11 0 11
C 2 -1.0125 -2.8102528 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi12 0 12
C 2 -1.0125 -2.78570911 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi13 0 13
C 2 -1.0125 -2.76116542 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi14 0 14
C 2 -1.0125 -2.73662173 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi15 0 15
C 2 -1.0125 -2.71207803 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi16 0 16
C 2 -1.0125 -2.68753434 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi17 0 17
C 2 -1.0125 -2.66299065 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi18 0 18
C 2 -1.0125 -2.63844696 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi19 0 19
C 2 -1.0125 -2.61390326 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi20 0 20
C 2 -1.0125 -2.58935957 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi21 0 21
C 2 -1.0125 -2.56481588 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi22 0 22
C 2 -1.0125 -2.54027218 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi23 0 23
C 2 -1.0125 -2.51572849 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi24 0 24
C 2 -1.0125 -2.4911848 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi25 0 25
C 2 -1.0125 -2.46664111 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi26 0 26
C 2 -1.0125 -2.44209741 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi27 0 27
C 2 -1.0125 -2.41755372 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi28 0 28
C 2 -1.0125 -2.39301003 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi29 0 29
C 2 -1.0125 -2.36846634 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi30 0 30
C 2 -1.0125 -2.34392264 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi31 0 31
C 2 -1.0125 -2.31937895 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi32 0 32
C 2 -1.0125 -2.29483526 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi33 0 33
C 2 -1.0125 -2.27029157 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi34 0 34
C 2 -1.0125 -2.24574787 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi35 0 35
C 2 -1.0125 -2.22120418 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi36 0 36
C 2 -1.0125 -2.19666049 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi37 0 37
C 2 -1.0125 -2.1721168 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi38 0 38
C 2 -1.0125 -2.1475731 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi39 0 39
C 2 -1.0125 -2.12302941 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi40 0 40
C 2 -1.0125 -2.09848572 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi41 0 41
C 2 -1.0125 -2.07394203 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi42 0 42
C 2 -1.0125 -2.04939833 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi43 0 43
C 2 -1.0125 -2.02485464 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi44 0 44
C 2 -1.0125 -2.00031095 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi45 0 45
C 2 -1.0125 -1.97576725 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi46 0 46
C 2 -1.0125 -1.95122356 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi47 0 47
C 2 -1.0125 -1.92667987 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi48 0 48
C 2 -1.0125 -1.90213618 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi49 0 49
C 2 -1.0125 -1.87759248 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi50 0 50
C 2 -1.0125 -1.85304879 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi51 0 51
C 2 -1.0125 -1.8285051 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi52 0 52
C 2 -1.0125 -1.80396141 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi53 0 53
C 2 -1.0125 -1.77941771 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi54 0 54
C 2 -1.0125 -1.75487402 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi55 0 55
C 2 -1.0125 -1.73033033 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi56 0 56
C 2 -1.0125 -1.70578664 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi57 0 57
C 2 -1.0125 -1.68124294 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi58 0 58
C 2 -1.0125 -1.65669925 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi59 0 59
C 2 -1.0125 -1.63215556 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi60 0 60
C 2 -1.0125 -1.60761187 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi61 0 61
C 2 -1.0125 -1.58306817 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi62 0 62
C 2 -1.0125 -1.55852448 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi63 0 63
C 2 -1.0125 -1.53398079 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi64 0 64
C 2 -1.0125 -1.5094371 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi65 0 65
C 2 -1.0125 -1.4848934 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi66 0 66
C 2 -1.0125 -1.46034971 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi67 0 67
C 2 -1.0125 -1.43580602 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi68 0 68
C 2 -1.0125 -1.41126232 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi69 0 69
C 2 -1.0125 -1.38671863 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi70 0 70
C 2 -1.0125 -1.36217494 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi71 0 71
C 2 -1.0125 -1.33763125 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi72 0 72
C 2 -1.0125 -1.31308755 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi73 0 73
C 2 -1.0125 -1.28854386 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi74 0 74
C 2 -1.0125 -1.26400017 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi75 0 75
C 2 -1.0125 -1.23945648 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi76 0 76
C 2 -1.0125 -1.21491278 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi77 0 77
C 2 -1.0125 -1.19036909 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi78 0 78
C 2 -1.0125 -1.1658254 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi79 0 79
C 2 -1.0125 -1.14128171 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi80 0 80
C 2 -1.0125 -1.11673801 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi81 0 81
C 2 -1.0125 -1.09219432 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi82 0 82
C 2 -1.0125 -1.06765063 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi83 0 83
C 2 -1.0125 -1.04310694 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi84 0 84
C 2 -1.0125 -1.01856324 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi85 0 85
C 2 -1.0125 -0.99401955 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi86 0 86
C 2 -1.0125 -0.96947586 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi87 0 87
C 2 -1.0125 -0.94493217 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi88 0 88
C 2 -1.0125 -0.92038847 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi89 0 89
C 2 -1.0125 -0.89584478 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi90 0 90
C 2 -1.0125 -0.87130109 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi91 0 91
C 2 -1.0125 -0.84675739 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi92 0 92
C 2 -1.0125 -0.8222137 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi93 0 93
C 2 -1.0125 -0.79767001 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi94 0 94
C 2 -1.0125 -0.77312632 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi95 0 95
C 2 -1.0125 -0.74858262 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi96 0 96
C 2 -1.0125 -0.72403893 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi97 0 97
C 2 -1.0125 -0.69949524 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi98 0 98
C 2 -1.0125 -0.67495155 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi99 0 99
C 2 -1.0125 -0.65040785 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi100 0 100
C 2 -1.0125 -0.62586416 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi101 0 101
C 2 -1.0125 -0.60132047 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi102 0 102
C 2 -1.0125 -0.57677678 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi103 0 103
C 2 -1.0125 -0.55223308 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi104 0 104
C 2 -1.0125 -0.52768939 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi105 0 105
C 2 -1.0125 -0.5031457 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi106 0 106
C 2 -1.0125 -0.47860201 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi107 0 107
C 2 -1.0125 -0.45405831 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi108 0 108
C 2 -1.0125 -0.42951462 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi109 0 109
C 2 -1.0125 -0.40497093 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi110 0 110
C 2 -1.0125 -0.38042724 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi111 0 111
C 2 -1.0125 -0.35588354 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi112 0 112
C 2 -1.0125 -0.33133985 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi113 0 113
C 2 -1.0125 -0.30679616 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi114 0 114
C 2 -1.0125 -0.28225246 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi115 0 115
C 2 -1.0125 -0.25770877 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi116 0 116
C 2 -1.0125 -0.23316508 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi117 0 117
C 2 -1.0125 -0.20862139 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi118 0 118
C 2 -1.0125 -0.18407769 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi119 0 119
C 2 -1.0125 -0.159534 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi120 0 120
C 2 -1.0125 -0.13499031 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi121 0 121
C 2 -1.0125 -0.11044662 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi122 0 122
