# layer_id eta phi delta_eta delta_phi rmin rmax
L 6 -0.4 0.4 4 -3.14159265 3.14159265 64 3783.0 4283.0
C 6 -0.3 -3.09250527 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi0 0 0
C 6 -0.3 -2.9943305 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi1 0 1
C 6 -0.3 -2.89615573 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi2 0 2
C 6 -0.3 -2.79798096 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi3 0 3
C 6 -0.3 -2.69980619 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi4 0 4
C 6 -0.3 -2.60163142 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi5 0 5
C 6 -0.3 -2.50345665 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi6 0 6
C 6 -0.3 -2.40528188 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi7 0 7
C 6 -0.3 -2.3071071 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi8 0 8
C 6 -0.3 -2.20893233 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi9 0 9
C 6 -0.3 -2.11075756 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi10 0 10
C 6 -0.3 -2.01258279 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi11 0 11
C 6 -0.3 -1.91440802 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi12 0 12
C 6 -0.3 -1.81623325 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi13 0 13
C 6 -0.3 -1.71805848 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi14 0 14
C 6 -0.3 -1.61988371 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi15 0 15
C 6 -0.3 -1.52170894 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi16 0 16
C 6 -0.3 -1.42353417 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi17 0 17
C 6 -0.3 -1.3253594 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi18 0 18
C 6 -0.3 -1.22718463 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi19 0 19
C 6 -0.3 -1.12900986 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi20 0 20
C 6 -0.3 -1.03083509 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi21 0 21
C 6 -0.3 -0.93266032 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi22 0 22
C 6 -0.3 -0.83448555 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi23 0 23
C 6 -0.3 -0.73631078 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi24 0 24
C 6 -0.3 -0.63813601 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi25 0 25
C 6 -0.3 -0.53996124 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi26 0 26
C 6 -0.3 -0.44178647 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi27 0 27
C 6 -0.3 -0.3436117 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi28 0 28
C 6 -0.3 -0.24543693 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi29 0 29
C 6 -0.3 -0.14726216 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi30 0 30
C 6 -0.3 -0.04908739 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi31 0 31
C 6 -0.3 0.04908739 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi32 0 32
C 6 -0.3 0.14726216 0.2 0.09817477 3783.0 4283.0 layer6_eta0_phi33 0 33
