# layer_id eta phi delta_eta delta_phi rmin rmax
L 1 -1.196 1.196 736 -3.14159265 3.14159265 64 1500 1596.0
C 1 -1.194375 -1.12900986 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi20 0 20
C 1 -1.194375 -1.03083509 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi21 0 21
C 1 -1.194375 -0.93266032 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi22 0 22
C 1 -1.194375 -0.83448555 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi23 0 23
C 1 -1.194375 -0.73631078 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi24 0 24
C 1 -1.194375 -0.63813601 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi25 0 25
C 1 -1.194375 -0.53996124 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi26 0 26
C 1 -1.194375 -0.44178647 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi27 0 27
C 1 -1.194375 -0.3436117 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi28 0 28
C 1 -1.194375 -0.24543693 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi29 0 29
C 1 -1.194375 -0.14726216 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi30 0 30
C 1 -1.194375 -0.04908739 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi31 0 31
C 1 -1.194375 0.04908739 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi32 0 32
C 1 -1.194375 0.14726216 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi33 0 33
C 1 -1.194375 0.24543693 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi34 0 34
C 1 -1.194375 0.3436117 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi35 0 35
C 1 -1.194375 0.44178647 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi36 0 36
C 1 -1.194375 0.53996124 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi37 0 37
C 1 -1.194375 0.63813601 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi38 0 38
C 1 -1.194375 0.73631078 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi39 0 39
C 1 -1.194375 0.83448555 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi40 0 40
C 1 -1.194375 0.93266032 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi41 0 41
C 1 -1.194375 1.03083509 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi42 0 42
C 1 -1.194375 1.12900986 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi43 0 43
C 1 -1.194375 1.22718463 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi44 0 44
C 1 -1.194375 1.3253594 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi45 0 45
C 1 -1.194375 1.42353417 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi46 0 46
C 1 -1.194375 1.52170894 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi47 0 47
C 1 -1.194375 1.61988371 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi48 0 48
C 1 -1.194375 1.71805848 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi49 0 49
C 1 -1.194375 1.81623325 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi50 0 50
C 1 -1.194375 1.91440802 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi51 0 51
C 1 -1.194375 2.01258279 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi52 0 52
C 1 -1.194375 2.11075756 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi53 0 53
C 1 -1.194375 2.20893233 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi54 0 54
C 1 -1.194375 2.3071071 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi55 0 55
C 1 -1.194375 2.40528188 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi56 0 56
C 1 -1.194375 2.50345665 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi57 0 57
C 1 -1.194375 2.60163142 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi58 0 58
C 1 -1.194375 2.69980619 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi59 0 59
C 1 -1.194375 2.79798096 0.00325 0.09817477 1500 1596.0 layer1_eta0_phi60 0 60
