# layer_id eta phi delta_eta delta_phi rmin rmax
L 2 -1.025 1.025 82 -3.11704896 3.11704896 254 1596.0 1926.0
C 2 -1.0125 -1.75487402 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi55
C 2 -1.0125 -1.73033033 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi56
C 2 -1.0125 -1.70578664 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi57
C 2 -1.0125 -1.68124294 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi58
C 2 -1.0125 -1.65669925 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi59
C 2 -1.0125 -1.63215556 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi60
C 2 -1.0125 -1.60761187 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi61
C 2 -1.0125 -1.58306817 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi62
C 2 -1.0125 -1.55852448 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi63
C 2 -1.0125 -1.53398079 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi64
C 2 -1.0125 -1.5094371 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi65
C 2 -1.0125 -1.4848934 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi66
C 2 -1.0125 -1.46034971 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi67
C 2 -1.0125 -1.43580602 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi68
C 2 -1.0125 -1.41126232 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi69
C 2 -1.0125 -1.38671863 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi70
C 2 -1.0125 -1.36217494 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi71
C 2 -1.0125 -1.33763125 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi72
C 2 -1.0125 -1.31308755 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi73
C 2 -1.0125 -1.28854386 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi74
C 2 -1.0125 -1.26400017 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi75
C 2 -1.0125 -1.23945648 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi76
C 2 -1.0125 -1.21491278 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi77
C 2 -1.0125 -1.19036909 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi78
C 2 -1.0125 -1.1658254 0.025 0.02454369 1596.0 1926.0 layer2_eta0_phi79
